code,course_name,description
ENCE201,Engineering Information Processing,Prerequisite: ENES220 and MATH241; and permission of ENGR-Civil & Environmental Engineering department.  Corequisite: MATH246.  Credit only granted for: ENCE201 or ENCE203.
ENCE215,Engineering for Sustainability,Prerequisite: CHEM135; and permission of ENGR-Civil & Environmental Engineering department.
ENCE300,Fundamentals of Engineering Materials,Prerequisite: ENES220; and permission of ENGR-Civil & Environmental Engineering department.
ENCE302,Probability and Statistics for Civil and Environmental Engineers,Prerequisite: MATH246 and ENCE201; and permission of ENGR-Civil & Environmental Engineering department.
ENCE305,Fundamentals of Engineering Fluids,"Prerequisite: ENES220, PHYS260, and PHYS261; and permission of ENGR-Civil & Environmental Engineering department.  Credit only granted for: ENCE305 or ENCE330.  Formerly: ENCE330."
ENCE310,Introduction to Environmental Engineering,Prerequisite: PHYS260 and ENCE215; and permission of ENGR-Civil & Environmental Engineering department.
ENCE320,Introduction to Project Management,Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.  Restriction: Must be in a major in ENGR-A. James Clark School of Engineering or in the Project Management Minor.  Credit only granted for: ENCE320 or ENCE325.
ENCE325,Introduction to Construction Project Management,"Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in a major in ARCH-School of Architecture, Planning, & Preservation; or must be in the Construction Project Management minor. And permission of ENGR-Civil & Environmental Engineering department.  Credit only granted for: ENCE 320 or ENCE 325."
ENCE340,Fundamentals of Geotechnical Engineering,Prerequisite: ENES220; and permission of ENGR-Civil & Environmental Engineering department.
ENCE353,Introduction to Structural Analysis,Prerequisite: Permission of ENGR-Civil & Environmental Engineering department; and (MATH246 and ENES220).
ENCE360,Analysis of Civil Engineering Systems,Prerequisite: ENCE201 and MATH140; and permission of ENGR-Civil & Environmental Engineering department.
ENCE370,Introduction to Transportation Engineering and Planning,"Prerequisite: ENCE201, PHYS260, and PHYS261; and permission of ENGR-Civil & Environmental Engineering department."
ENCE402,Simulation and Design of Experiments for Engineers,Prerequisite: ENCE302; and permission of ENGR-Civil & Environmental Engineering department.
ENCE411,Environmental Engineering Science,Prerequisite: ENCE310; and permission of ENGR-Civil & Environmental Engineering department.
ENCE412,Environmental Engineering Unit Operations,Prerequisite: ENCE305 and ENCE310; and permission of ENGR-Civil & Environmental Engineering department.
ENCE421,Legal Aspects of Architectural and Engineering Practice,Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management minor; or must be in the Project Management Minor. And permission of ENGR-Civil & Environmental Engineering department.
ENCE422,Project Cost Accounting and Economics,Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.  Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor.
ENCE423,"Project Planning, Estimating & Scheduling",Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor. And permission of ENGR-Civil & Environmental Engineering department.
ENCE424,Communication for Project Managers,Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.  Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor.
ENCE426,Construction Documentation and BIM Applications in Engineering and Construction,Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.  Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor.
ENCE431,Hydrologic Engineering,Prerequisite: ENCE305; and permission of ENGR-Civil & Environmental Engineering department.
ENCE444,Experimental Methods in Geotechnical Structural Engineering,Prerequisite: ENCE353 and ENCE340; and permission of ENGR-Civil & Environmental Engineering department.
ENCE447,Pavement Engineering,Prerequisite: ENCE340; and permission of ENGR-Civil & Environmental Engineering department.
ENCE453,Computer-Aided Structural Analysis,Prerequisite: ENCE353; and permission of ENGR-Civil & Environmental Engineering department.
ENCE455,Design of Steel Structures,Prerequisite: ENCE353; and permission of ENGR-Civil & Environmental Engineering department.
ENCE466,Design of Civil Engineering Systems,Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.  Restriction: Senior standing.  Additional information: Must be taken in the semester in which the student graduates.
ENCE472,Transportation Engineering,Prerequisite: ENCE302 and ENCE370; and permission of ENGR-Civil & Environmental Engineering department.
ENCE602,Project Procurement Management,"Fundamental concepts and techniques for project acquisition and procurement are presented. Students are introduced to the PMBOK Guide six-step procurement process and expected to develop an in-depth understanding of project evaluation, planning, financing, contracting, negotiation, and procurement execution. It will also cover emerging methods, principles, and practices in infrastructure project procurement, including Public-Private Partnerships, Carbon project procurement, and Clean Development Mechanism."
ENCE604,Sustainabilty Fundamentals for Project Managers,"Addresses the fundamentals of sustainability for project managers including best practices of modern sustainable construction and project management.  Commercial and residential buildings consume about 40 percent of the energy used in the United States.  Therefore, emphasis will be on the application of the sustainable development standards to the built environment, including the practical operational aspects of sustainable facility project management."
ENCE605,Evolving as a Project leader,Prerequisite: ENCE665.
ENCE607,Mastering Agile Project Management,Prerequisite: Must have completed or be concurrently enrolled in ENCE662.
ENCE611,Finite Element Methods,Formerly: ENCE661.
ENCE621,Uncertainty Modeling and Analysis,Prerequisite: ENCE302; or students who have taken courses with comparable content may contact the department.
ENCE622,Construction Automation & Robotics,"Covers advanced technologies leading to redesign and partial or full automation of selected construction processes utilizing industrial robotics. Lectures and presentations will cover topics such as basic robotic technology (robot kinematics and dynamics, industrial manipulators, mobility bases, end effectors, sensors, control systems, and robot task programming), design of automated construction processes, selection of means and methods for automated construction processes, robot ergonomics and safety, calculation of costs and benefits of construction robots in selected applications, engineering and economic feasibility of automation and robotics in the construction industry."
ENCE627,Project Risk Management,Restriction: Must not have completed ENCE627.
ENCE645,Geotechnics of Waste Disposal,"Credit only granted for: ENCE489X, ENCE645, or ENCE688X.  Formerly: ENCE688X."
ENCE662,Introduction to Project Management,"Introduction to project management including: overview and concepts of project management (principles, body of knowledge, strategies); planning successful projects (defining, specifying, delivery options, scheduling, budgeting); implementing (organizing the team, work assignments, team building, effective leadership); executing (performance measurement, maintaining the schedule, adjustments/mid-course corrections, record keeping, status reporting, communications, managing conflict, time management); and closeout(performance measurement, maintaining the schedule, adjustments/mid-course corrections, record keeping, status reporting, communications, managing conflict, time management)."
ENCE664,Legal Aspects of Engineering Design and Construction,"Examines ways in which the legal system affects the design and construction process. Focuses on contract types and the relationships between the parties in different delivery systems. Covers basics of procurement protocols along with negotiating techniques and strategies. Topics include contract law, the relationships between the parties, tort and negligence law, and the statutory principles affecting construction."
ENCE665,Management of Project Teams,"Experience has shown that really excellent project managers are not only technically competent but that they have above average skills in human relations and communications. The course will prepare project managers to optimize the utilization of their most important resource: people. Relying primarily on a wide range of research and experience in the Project Team, this course will help guide project managers in building the other skills needed to be truly successful in the competitive Project Team."
ENCE673,Urban Transportation,"The contempory methodology of urban transportation planning. The urban transportation planning process, interdependence between the urban transportation system and the activity system, urban travel demand models, evaluation of urban transportation alternatives and their implementation."
ENCE674,Urban Transit Planning and Rail Transportation Engineering,"Basic engineering components of conventional and high speed railroads and of air cushion and other high speed new technology. The study of urban rail and bus transit. The characteristics of the vehicle, the supporting way, and the terminal requirements will be evaluated with respect to system performance, capacity, cost, and level of service."
